createdAt,productId,productDescription,solutionType,businessIncidentReasonType,businessIncidentReason,partner_id
1705184845,,LG C3 Series 55-Inch Class OLED Evo 4K UHD Smart TV,REPAIR,ITEM_IS_NOT_CORRECT,DOES_NOT_POWER_ON,4586691
1629247776,,Instant Pot Duo 7-in-1 Electric Pressure Cooker,REPAIR,ITEM_IS_NOT_CORRECT,SCRATCHED_SURFACE,1967911
1615341788,,Instant Pot Duo 7-in-1 Electric Pressure Cooker,REPAIR,WRONG_SIZE,DOES_NOT_POWER_ON,7576454
1709090154,,Dyson V15 Detect Cordless Vacuum Cleaner,REPAIR,WRONG_SIZE,LATE_DELIVERY,5601562
1674663718,,Nintendo Switch OLED Model,REPAIR,DAMAGED_ITEM,SCRATCHED_SURFACE,2672636
1643554359,,Bose QuietComfort Earbuds II,REPAIR,ITEM_IS_NOT_CORRECT,SCRATCHED_SURFACE,2474283
1677397257,,Dyson V15 Detect Cordless Vacuum Cleaner,REPAIR,WRONG_SIZE,TOO_SMALL,3788926
1678838487,,Nintendo Switch OLED Model,REPAIR,ITEM_IS_NOT_CORRECT,COLOR_DOES_NOT_MATCH_ITEM,6856801
1732033852,,Samsung 65-inch Class QLED 4K UHD Smart TV,REPAIR,DAMAGED_ITEM,LATE_DELIVERY,7834937
1641573218,,Instant Pot Duo 7-in-1 Electric Pressure Cooker,REPAIR,FAULTY_PRODUCT,COLOR_DOES_NOT_MATCH_ITEM,3841038
1688563200,,Apple AirPods Pro (2nd Generation),REPAIR,DELIVERY_ISSUE,LATE_DELIVERY,1234567
1719264000,,Logitech MX Master 3S Wireless Performance Mouse,REPAIR,FAULTY_PRODUCT,DOES_NOT_POWER_ON,9876543
1628164448,S0D789SP,Spedition Wohnlandschaft 3.tlg.,PRICE_DISCOUNT,ADDITIONAL_REASONS,OTHERS,1001964
1700040600,GAD789PL,Bose QuietComfort Earbuds II,PRICE_DISCOUNT,DELIVERY_ISSUE,DAMAGED_DURING_TRANSIT,5008765
1642689000,CAM987XY,Sony Alpha a7 III Mirrorless Camera,PRICE_DISCOUNT,PRODUCT_DEFECT,FAULTY_SENSOR,2003456
1714550400,HEAD1234,Sony WH-1000XM5 Noise Cancelling Headphones,PRICE_DISCOUNT,SHIPPING_DAMAGE,CRACKED_CASING,7890123
1689848100,LAPTOPPRO9,Apple MacBook Pro 16-inch M3 Max,PRICE_DISCOUNT,PERFORMANCE_ISSUE,SOFTWARE_GLITCH,9988776
1606838400,GAMECONS01,PlayStation 5 Console,PRICE_DISCOUNT,MISSING_PARTS,MISSING_CONTROLLER,4567890
1662807600,TABPRO123,Samsung Galaxy Tab S9 Ultra,PRICE_DISCOUNT,CUSTOMER_ERROR,INCORRECT_ORDER,3210987
1618739100,HEADPHONE456,Bose Noise Cancelling Headphones 700,PRICE_DISCOUNT,SOUND_QUALITY,DISTORTED_AUDIO,6789012
1672920000,VACUUMCLEANER,Dyson V11 Animal Cordless Vacuum Cleaner,PRICE_DISCOUNT,FUNCTIONALITY,LOSS_OF_SUCTION,1122334
1711379400,FITNESSTRACKER,Fitbit Charge 6 Fitness Tracker,PRICE_DISCOUNT,ACCURACY_ISSUE,INCORRECT_HEART_RATE,5566778
1675242000,PRINTERABC,HP OfficeJet Pro 9015e All-in-One Printer,PRICE_DISCOUNT,PRINTING_ISSUE,PAPER_JAM,8765432
1720688400,,Sony WH-1000XM5 Noise Cancelling Headphones,TWO_MAN_HANDLING_RETURN,PRODUCT_DEFECT,AUDIO_DISTORTION,1000101
1720774800,,Apple MacBook Air 15-inch M3,TWO_MAN_HANDLING_RETURN,DELIVERY_ISSUE,LATE_DELIVERY,2000200
1720861200,,Samsung 65-inch Class QLED 4K UHD Smart TV,TWO_MAN_HANDLING_RETURN,ITEM_IS_NOT_CORRECT,WRONG_MODEL_SENT,3000300
1720947600,,Dyson V11 Animal Cordless Vacuum Cleaner,TWO_MAN_HANDLING_RETURN,DAMAGED_ITEM,MISSING_PARTS,4000400
1721034000,,Logitech MX Master 3S Wireless Performance Mouse,TWO_MAN_HANDLING_RETURN,FAULTY_PRODUCT,DOES_NOT_CONNECT,5000500
1720688400,,Apple MacBook Pro 14-inch M3,SPARE_PARTS,PRODUCT_DEFECT,SCREEN_ISSUE,1000101
1720774800,,Samsung 65-inch Class QLED 4K UHD Smart TV,SPARE_PARTS,DELIVERY_ISSUE,DAMAGED_DURING_TRANSIT,2000200
1720861200,,Logitech MX Master 3S Wireless Performance Mouse,SPARE_PARTS,ITEM_IS_NOT_CORRECT,DOES_NOT_CONNECT,3000300
1720947600,,Kindle Paperwhite (11th Gen),SPARE_PARTS,ADDITIONAL_REASONS,BATTERY_DRAIN,4000400
1721034000,,Dyson V15 Detect Cordless Vacuum Cleaner,SPARE_PARTS,OTHERS,LOSS_OF_SUCTION,5000500
